,age,weight,height
Anthony Jelonch,26,111,193
Bernard Le Roux,33,113,196
Cameron Woki,24,105,196
Charles Ollivon,29,108,199
Cyril Baille,29,112,182
Daniel Bibi Bizuwu,0,0,0
Dany Priso,29,110,182
Demba Bamba,24,119,185
Dylan Cretin,25,101,195
Florent Vanverberghe,0,0,0
Florian Verhaeghe,25,103,202
Francois Cros,28,97,190
Gaeton Barlot,0,0,0
Gregory Alldritt,0,0,0
Ibrahim Diallo,0,0,0
Jean-Baptiste Gros,23,123,195
Julien Marchand,27,95,181
Mohammed Haouas,28,118,185
Paul Boudehent,0,0,0
Paul Willemse,30,127,200
Peato Mauvaka,26,115,184
Pierre Bourgarit,25,105,184
Romain Taofifenua,32,121,200
Sebastien Taofifenua,30,122,178
Sekou Macalou,27,90,195
Selevasio Tolofua,25,100,186
Sipili Falatea,0,0,0
Thibaud Flament,0,0,0
Thomas Jolmes,27,103,203
Thomas Lavault,0,0,0
Uini Atonio,32,145,197
Yoan Tanga Mangene,29,94,182
Antoine Dupont,26,82,174
Antoine Hastoy,25,83,180
Baptiste Couilloud,25,77,175
Brice Dulin,32,82,176
Damian Penaud,26,93,188
GabinVillière,0,0,0
Gael Fickou,28,99,190
Jonathan Danty,30,93,181
Jules Favre,0,0,0
Leo Berdeu,24,95,195
Matthieu Jalibert,24,81,180
Matthis Lebel,23,104,184
Max Spring,0,0,0
Maxime Lucu,0,0,0
Melvyn Jaminet,0,0,0
Romain Ntamack,23,82,186
Tani Vili,0,0,0
Teddy Thomas,29,90,185
Thomas Ramos,27,80,178
Virimi Vakatawa,30,92,185
Yoram Moefana,0,0,0
Aidan Ross,27,111,189
Akira Ioane,27,113,194
Angus Taavao-Matau,32,127,194
Ardie Savea,29,99,190
Brodie Retallick,31,120,204
Codie Taylor,31,106,183
Dalton Papali'i,25,95,191
Dane Coles,36,110,184
Ethan De Groot,0,0,0
George Bower,0,120,186
Hoskins Sotutu,24,106,192
Karl Tuinukuafe,29,135,186
Nepo Laulala,31,116,184
Ofa Tuungafasi,30,125,195
Patrick Tuipulotu,30,123,198
Pita Sowakula,28,110,195
Sam Cane,31,105,189
Samisoni Taukei'aho,25,115,183
Samuel Whitelock,34,120,203
Scott Barrett,29,112,197
Shannon Frizell,29,108,195
Tupou Vaai,0,0,0
Tyrel Lomax,26,127,192
Aaron Smith,34,83,169
Anton Lienert-Brown,27,103,187
Beauden Barrett,31,91,187
Braydon Ennor,25,92,186
Caleb Clarke,23,103,187
David Kaetau Havili,28,88,184
Finlay Christie,28,80,181
Fletcher Newell,0,0,0
Folau Fakatava,0,0,0
Jordie Barrett,25,96,195
Leicester Fainga'anuku,23,104,188
Quinn Tupaea,0,0,0
Richie Mo'unga,28,86,179
Rieko Ioane,25,103,188
Roger Tuivasa-Sheck,0,0,0
Sevu Reece,25,87,179
Stephen Perofeta,25,85,180
Will Jordan,24,91,188
AndreaZambonin,0,0,0
Braam Steyn,30,110,193
Cherif Traore,28,116,184
Danilo Fischetti,0,0,0
David Sisi,30,117,193
Federico Ruzza,28,108,198
Giacomo Nicotera,26,102,183
Gianmarco Lucchesi,22,110,184
Giosue Zilocchi,26,106,186
Giovanni Pettinelli,26,108,193
Hame Faiva,0,0,0
Ivan Nemer,24,116,180
Luca Bigi,31,106,182
Manuel Zuliani,22,108,188
Marco Fuser,31,124,198
Michele Lamaro,24,103,188
Niccolo Cannone,24,120,197
Pietro Ceccarelli,30,110,184
Sebastian Negri da Ollegio,0,0,0
Tiziano Pasquali,28,111,183
Toa Halafihi,29,106,189
Alessandro Fusco,23,82,183
Ange Capuozzo,0,0,0
Callum Braley,0,0,0
Edoardo Padovani,29,95,191
Federico Mori,0,0,0
Giacomo Da Re,23,83,180
Juan Ignacio Brex,30,99,189
Leonardo Marin ,20,88,188
Luca Morisi,31,99,183
Marco Zanon,25,97,186
Mark Sorenson,0,0,0
Monty Ioane,0,0,0
Paolo Garbisi,0,0,0
Pierre Bruno,26,92,178
Stephen Varney,0,0,0
Tommaso Menoncello,20,90,186
Diego Arbelo,0,0,0
Eric dos Santos Madeira,0,0,0
Franco Lamanna,0,0,0
German Kessler,0,0,0
Kisi Pulu,0,0,0
Luke Crocker,0,0,0
Manuel Ardao,0,0,0
Manuel Diana,0,0,0
Manuel Leindekar,0,0,0
Mateo Sanguinetti,0,0,0
Santiago Civetta,0,0,0
Agustin Ormaechea,0,0,0
Diego Magno,0,0,0
Facundo Gattas,0,0,0
Federico Favaro,0,0,0
Felipe Arcos Perez,0,0,0
Felipe Etcheverry,0,0,0
Gaston Mieres,0,0,0
Ignacio Péculo,0,0,0
Juan Manuel Alonso,0,0,0
Luca Crosato,0,0,0
Luca Scarsini,0,0,0
Mateo Vinals,0,0,0
Matias Benitez,0,0,0
Nicolas Freitas,0,0,0
Rodrigo Silva,0,0,0
Tomas Inciarte,0,0,0
Deon Fourie,36,101,178
Duane Vermeulen,36,117,193
Eben Etzebeth,31,117,203
Elrigh Louw,23,112,195
Franco Mostert ,0,0,0
Frans Malherbe,31,130,191
Jasper Wiese,0,0,0
Joeseph Dweba,27,107,180
Kwagga Smith,29,90,180
Lood De Jager,0,0,0
Malcolm Marx,28,114,189
Marcell Coetzee,31,116,193
Marvin Orie,29,113,198
Mbongeni Mbonami,32,108,175
Ox Nche,27,114,176
Pieter-Steph du Toit,30,115,200
Ruan Nortje,24,113,200
Rynhard Elstadt,33,116,193
Salmaan Moerat,24,117,199
Siya Kolisi,31,103,188
Steven Kitshoff,31,120,183
Thomas du Toit,27,128,189
Trevor Nyakane,33,120,178
Vincent Koch,32,118,185
Andre Esterhuizen,28,110,194
Aphelele Fassi,25,87,189
Canan Moodie,20,89,190
Cheslin Kolbe,29,80,171
Damian Willemse,24,91,187
Damian de Allende,31,105,190
Elton Jantjies,32,88,176
Evan Roos,23,108,192
Francois de Klerk,31,80,170
Frans Steyn,0,0,0
Grant Williams,26,80,174
Handre Pollard,28,98,189
Hershel Jantjies,26,75,167
Jacobus Reinach,33,87,175
Jaden Hendrikse,22,87,179
Jesse Kriel,28,98,186
Kurt-Lee Arendse,26,79,180
Lukhanyo Am,29,87,186
Makazole Mapimpi,32,91,184
Ntuthuko Mchunu,23,114,188
Warrick Gelant,27,92,180
Willie Le Roux,33,90,186
Andrew Porter,27,114,183
Caelan Doris,24,107,193
Cian Healy,35,117,185
Cian Prendergast,22,112,193
Dan Sheehan,24,111,191
Dave Heffernan,32,110,187
Dave Kilcoyne,34,118,185
Ed Byrne,29,114,180
Finlay Bealham,31,123,188
Gavin Coombes,25,110,198
Iain Henderson,30,116,198
Jack Conan,30,110,193
James Ryan,26,115,201
Jeremy Loughman,27,118,185
Joe McCarthy,21,119,198
Josh Van der Flier,29,103,188
Kieran Treadwell,27,115,198
Michael Bent,36,118,186
Niall Scannell,30,111,185
Nick Timoney,27,114,188
Peter O'Mahony,33,107,191
Rob Herring,32,105,185
Ronan Kelleher,25,105,183
Ryan Baird,23,113,198
Tadgh Beirne,31,113,198
Tadhg Furlong,30,125,183
Tom O'Toole,24,123,183
Andrew Conway,31,90,180
Bundee Aki,32,102,178
Ciaran Frawley,25,98,191
Conor Murray,33,94,188
Craig Casey,23,76,165
Garry Ringrose,28,96,188
Hugo Keenan,26,92,185
Jack Carty,30,88,183
James Hume,24,95,188
James Lowe,30,105,188
Jamison Gibson-Park,30,80,175
Jimmy O'Brien,26,88,183
Joey Carbery,27,86,183
Johnny Sexton,37,90,188
Jordan Larmour,25,90,178
Keith Earls,35,87,178
Michael Lowry,24,76,170
Robbie Henshaw,29,99,191
Robert Baloucoune,25,93,193
Simon Westraadt,0,0,0
Stuart McCloskey,30,111,193
Allan Dell,30,108,185
Andy Christie,0,0,0
David Cherry,32,107,183
Ewan Ashman,0,0,0
Fraser Brown,33,113,182
George Turner,30,105,180
Glen Young,28,112,201
Grant Gilchrist,32,118,201
Hamish Watson,31,102,186
Jack Dempsey,28,111,190
Jamie Bhattie,29,120,185
Jamie Hodgson,24,116,197
Jamie Ritchie,26,109,193
Javan Sebastian,28,123,175
Jonny Gray,28,119,198
Josh Bayliss,25,95,195
Luke Crosbie,25,108,196
Magnus Bradbury,27,110,194
Matt Fagerson,24,110,186
Nick Haining,32,116,193
Pierre Schoeman,28,118,186
Rory Darge,22,98,186
Rory Sutherland,30,113,183
Sam Skinner,28,116,196
Scott Cummings,26,115,198
Stuart McInally,32,110,191
WP Nel,0,0,0
Zander Fagerson,27,126,188
Adam Hastings,26,87,186
Ali Price,29,88,178
Ben Vellacott,27,80,168
Ben White,0,0,0
Blair Kinghorn,26,100,194
Cameron Redpath,0,0,0
Chris Harris,32,101,190
Darcy Graham,25,84,176
Duhan van der Merwe,27,106,194
Finn Russell,30,87,182
George Horne,27,79,175
Kyle Rowe,0,0,0
Kyle Steyn,29,102,183
Mark Bennett,30,91,183
Ollie Smith,22,85,188
Rory Hutchinson,27,85,181
Ross Thompson,23,86,183
Rufus McLean,22,84,178
Sam Johnson,29,95,186
Sione Tuipulotu,25,103,178
Stuart Hogg,30,93,180
Ben Betts,26,109,182
Ben Tameifuna,31,142,184
Dan Tuohy,37,112,190
Daniel Faleafa,33,105,192
David Lolohea,0,0,0
Don Lolo,0,0,0
Duke Nginingini,0,0,0
Fotu Lokotui,30,89,189
Ian Evans,0,0,0
Jay Fonokalafi,0,0,0
Jeremy Thrush,37,117,198
Jethro Felemi,0,0,0
Leva Fifita,33,116,195
Loni Uhila,33,125,181
Lopeti Timani,32,117,193
Lua Li,31,120,180
Ma'afu Fia,0,0,0
Maama Vaipulu,33,112,190
Mateaki Kafatolu,0,0,0
Nasi Manu,34,114,190
Nicola Cattina,0,0,0
Onehunga Havili,26,112,188
Paula Ngauamo,0,0,0
Sam Dickinson,38,105,193
Samiuela Moli,0,0,0
Shaun Knight,32,111,183
Siegfried Fisiihoi,35,125,184
Sila Puafisi,34,94,183
Sione Tuipolotu,25,115,195
Sione Vailanu,28,119,185
Siua Maile,0,0,0
Solomone Funaki,0,0,0
Tanginoa Halaifonua,26,85,187
Tom Johnson,0,0,0
Toma Taufa,0,0,0
Valentino Mapapalangi,29,112,194
Wandile Putuma,0,0,0
