,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Bakary Meite,Flanker 7,bath,2022,,,,,,,,,,,,,,,,,,
Beno Obano,Prop,bath,2022,,,,,,,,,,,,,,,,,,
Charlie Ewels,Lock,bath,2022, 0 , 0 , 26 , 15 , 0 , 1 , 14 , 4 , 0 , 0 , 0 , 28 , 7 , 2 , 2 , 2 , 1 , 0 
D'arcy Rae,Prop,bath,2022, 0 , 0 , 24 , 23 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 39 , 4 , 0 , 3 , 8 , 0 , 0 
Jaco Coetzee,Number 8,bath,2022, 0 , 0 , 34 , 26 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 31 , 2 , 2 , 3 , 3 , 1 , 0 
Jacques Du Toit,Hooker,bath,2022, 0 , 0 , 41 , 27 , 1 , 1 , 12 , 1 , 1 , 0 , 0 , 53 , 15 , 4 , 9 , 2 , 0 , 0 
Johan Smith,Prop,bath,2022,,,,,,,,,,,,,,,,,,
Johannes Jonker,Prop,bath,2022, 5 , 1 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 3 , 1 , 0 
Josh Bayliss,Blindside Flanker,bath,2022, 10 , 2 , 70 , 26 , 2 , 2 , 11 , 2 , 0 , 0 , 0 , 32 , 3 , 5 , 6 , 5 , 1 , 0 
Josh McNally ,Lock 4,bath,2022, 0 , 0 , 32 , 24 , 0 , 1 , 13 , 1 , 0 , 0 , 0 , 25 , 5 , 0 , 2 , 3 , 0 , 0 
Joshua McNally,Flanker 6,bath,2022, 0 , 0 , 6 , 7 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 15 , 2 , 1 , 1 , 2 , 0 , 0 
Juan Schoeman,Prop,bath,2022, 0 , 0 , 11 , 6 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 7 , 1 , 1 , 1 , 5 , 0 , 0 
Lewis Boyce,Prop,bath,2022, 5 , 1 , 12 , 7 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 9 , 0 , 0 , 0 , 1 , 0 , 0 
Ma'afu Fia,Prop,bath,2022, 0 , 0 , 3 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 
Matheus Daniel,Flanker 6,bath,2022,,,,,,,,,,,,,,,,,,
Mike Williams,Lock,bath,2022, 5 , 1 , 30 , 22 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 31 , 5 , 1 , 1 , 1 , 0 , 0 
Miles Reid,Number 8,bath,2022, 0 , 0 , 21 , 5 , 1 , 1 , 2 , 1 , 0 , 0 , 0 , 11 , 0 , 0 , 0 , 1 , 0 , 0 
Nahum Merigan,Number 8,bath,2022, 0 , 0 , 15 , 7 , 1 , 0 , 2 , 1 , 0 , 0 , 0 , 9 , 3 , 1 , 1 , 0 , 0 , 0 
Nathan Hughes,Number 8,bristol,2022, 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 
Sam Underhill,Flanker 7,bath,2022, 10 , 2 , -2 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 7 , 2 , 1 , 0 , 0 , 0 , 0 
Taulupe Faletau,Flanker 7,cardiff-blues,2022, 0 , 0 , 33 , 16 , 2 , 0 , 3 , 2 , 2 , 0 , 0 , 10 , 2 , 2 , 3 , 1 , 0 , 0 
Tom Dunn,Hooker,bath,2022, 0 , 0 , 11 , 3 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 3 , 2 , 0 , 0 , 0 , 0 , 0 
Tom Ellis,Blindside Flanker,bath,2022, 0 , 0 , 18 , 16 , 0 , 0 , 9 , 1 , 0 , 0 , 0 , 41 , 6 , 4 , 3 , 3 , 1 , 0 
Valery Morozov,Prop,bath,2022, 0 , 0 , 28 , 17 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 22 , 4 , 3 , 4 , 6 , 1 , 0 
Viliame Veikoso,Hooker,bath,2022,,,,,,,,,,,,,,,,,,
Will Spencer,Lock 5,bath,2022, 0 , 0 , 35 , 30 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 35 , 4 , 1 , 2 , 0 , 0 , 0 
Will Stuart,Tighthead Prop,bath,2022, 0 , 0 , 17 , 9 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 1 , 0 , 1 , 2 , 0 , 0 
Will Vaughan,Prop,bath,2022, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 
Anthony Watson,Wing,lions,2022,,,,,,,,,,,,,,,,,,
Anton Ryabov,Fly half,bath,2022,,,,,,,,,,,,,,,,,,
Arthur Cordwell,Fullback,bath,2022, 0 , 0 , 17 , 19 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 25 , 8 , 0 , 0 , 8 , 0 , 0 
Ben Spencer,Scrum half,bath,2022, 44 , 4 , 12 , 11 , 0 , 1 , 315 , 3 , 63 , 6 , 4 , 9 , 5 , 1 , 7 , 0 , 0 , 0 
Cameron Redpath,Centre,bath,2022, 0 , 0 , 100 , 25 , 1 , 2 , 19 , 1 , 9 , 0 , 0 , 26 , 10 , 3 , 4 , 4 , 0 , 0 
Carl Meyer,Centre,bath,2022,,,,,,,,,,,,,,,,,,
