,position,team,year
Anthony Jelonch,Flanker 7,france,2018
Bernard Le Roux,Flanker 6,france,2018
Cameron Woki,Flanker 7,france,2018
Charles Ollivon,Number 8,france,2018
Cyril Baille,Prop,france,2018
Daniel Bibi Bizuwu,Prop,france,2018
Dany Priso,Prop,france,2018
Demba Bamba,Tighthead Prop,france,2018
Dylan Cretin,Number 8,france,2018
Florent Vanverberghe,Number 8,france,2018
Florian Verhaeghe,Lock,france,2018
Francois Cros,Blindside Flanker,france,2018
Gaeton Barlot, Hooker,france,2018
Gregory Alldritt,Flanker 7,france,2018
Ibrahim Diallo,Flanker 7,france,2018
Jean-Baptiste Gros,Loosehead Prop,france,2018
Julien Marchand,Hooker,france,2018
Mohammed Haouas,Prop,france,2018
Paul Boudehent,Openside Flanker,france,2018
Paul Willemse,Lock,france,2018
Peato Mauvaka,Hooker,france,2018
Pierre Bourgarit,Hooker,france,2018
Romain Taofifenua,Lock,france,2018
Sebastien Taofifenua,Prop,france,2018
Sekou Macalou,Flanker 7,france,2018
Selevasio Tolofua,Flanker 6,france,2018
Sipili Falatea,Prop,france,2018
Thibaud Flament,Lock 5,france,2018
Thomas Jolmes,Lock,france,2018
Thomas Lavault,Lock,france,2018
Uini Atonio,Prop,france,2018
Yoan Tanga Mangene,Openside Flanker,france,2018
Antoine Dupont,Scrum Half,france,2018
Antoine Hastoy,Fly Half,france,2018
Baptiste Couilloud,Scrum half,france,2018
Brice Dulin,Fullback,france,2018
Damian Penaud,Centre,france,2018
GabinVillière,Wing,france,2018
Gael Fickou,Centre,france,2018
Jonathan Danty,Centre,france,2018
Jules Favre,Centre 12,france,2018
Leo Berdeu,Fly Half,france,2018
Matthieu Jalibert,Fly half,france,2018
Matthis Lebel,Fullback,france,2018
Max Spring,Fullback,france,2018
Maxime Lucu,Fly half,france,2018
Melvyn Jaminet,Fullback,france,2018
Romain Ntamack,Fly half,france,2018
Tani Vili,Centre,france,2018
Teddy Thomas,Wing,france,2018
Thomas Ramos,Fullback,france,2018
Virimi Vakatawa,Wing,france,2018
Yoram Moefana,Centre,france,2018
Aidan Ross,Prop,new-zealand,2018
Akira Ioane,Blindside Flanker,new-zealand,2018
Angus Taavao-Matau,Prop,new-zealand,2018
Ardie Savea,Flanker 7,new-zealand,2018
Brodie Retallick,Lock,new-zealand,2018
Codie Taylor,Hooker,new-zealand,2018
Dalton Papali'i,Flanker 7,new-zealand,2018
Dane Coles,Hooker,new-zealand,2018
Ethan De Groot,Loosehead Prop,new-zealand,2018
George Bower,Tighthead Prop,new-zealand,2018
Hoskins Sotutu,Number 8,new-zealand,2018
Karl Tuinukuafe,Prop,new-zealand,2018
Nepo Laulala,Tighthead Prop,new-zealand,2018
Ofa Tuungafasi,Tighthead Prop,new-zealand,2018
Patrick Tuipulotu,Lock,new-zealand,2018
Pita Sowakula,Flanker 6,new-zealand,2018
Sam Cane,Openside Flanker,new-zealand,2018
Samisoni Taukei'aho,Hooker,new-zealand,2018
Samuel Whitelock,Lock,new-zealand,2018
Scott Barrett,Lock,new-zealand,2018
Shannon Frizell,Flanker 7,new-zealand,2018
Tupou Vaai,Lock 4,new-zealand,2018
Tyrel Lomax,Prop,maori-all-blacks,2018
Aaron Smith,Scrum Half,new-zealand,2018
Anton Lienert-Brown,Centre,new-zealand,2018
Beauden Barrett,Fly Half,new-zealand,2018
Braydon Ennor,Wing,new-zealand,2018
Caleb Clarke,Left Wing,new-zealand,2018
David Kaetau Havili,Wing,new-zealand,2018
Finlay Christie,Scrum Half,new-zealand,2018
Fletcher Newell,,new-zealand,2018
Folau Fakatava,Scrum half,new-zealand,2018
Jordie Barrett,Fullback,new-zealand,2018
Leicester Fainga'anuku,Wing,new-zealand,2018
Quinn Tupaea,Centre 13,new-zealand,2018
Richie Mo'unga,Fly half,new-zealand,2018
Rieko Ioane,Wing,new-zealand,2018
Roger Tuivasa-Sheck,Centre 12,new-zealand,2018
Sevu Reece,Right Wing,new-zealand,2018
Stephen Perofeta,Fly half,new-zealand,2018
Will Jordan,Fullback,new-zealand,2018
AndreaZambonin,Lock 4,italy,2018
Braam Steyn,Flanker 7,italy,2018
Cherif Traore,Prop,italy,2018
Danilo Fischetti,Prop,italy,2018
David Sisi,Blindside Flanker,italy,2018
Federico Ruzza,Lock,italy,2018
Giacomo Nicotera,Hooker,italy,2018
Gianmarco Lucchesi,,italy,2018
Giosue Zilocchi,Tighthead Prop,italy,2018
Giovanni Pettinelli,Openside Flanker,italy,2018
Hame Faiva,Hooker,italy,2018
Ivan Nemer,Loosehead Prop,italy,2018
Luca Bigi,Hooker,italy,2018
Manuel Zuliani,Number 8,italy,2018
Marco Fuser,Lock,italy,2018
Michele Lamaro,Openside Flanker,italy,2018
Niccolo Cannone,Lock 4,italy,2018
Pietro Ceccarelli,Prop,italy,2018
Sebastian Negri da Ollegio,Openside Flanker,italy,2018
Tiziano Pasquali,Tight head prop,italy,2018
Toa Halafihi,Number 8,italy,2018
Alessandro Fusco,Fullback,italy,2018
Ange Capuozzo,Fullback,italy,2018
Callum Braley,Scrum half,italy,2018
Edoardo Padovani,Fullback,italy,2018
Federico Mori,Left wing,italy,2018
Giacomo Da Re,Fullback,italy,2018
Juan Ignacio Brex,Centre 12,italy,2018
Leonardo Marin ,Fly Half,italy,2018
Luca Morisi,Centre,italy,2018
Marco Zanon,Centre 12,italy,2018
Mark Sorenson,Wing,italy,2018
Monty Ioane,Right Wing,italy,2018
Paolo Garbisi,Fly half,italy,2018
Pierre Bruno,Wing,italy,2018
Stephen Varney,Scrum half,italy,2018
Tommaso Menoncello,Left Wing,italy,2018
Diego Arbelo,Prop,uruguay,2018
Eric dos Santos Madeira,Blindside Flanker,uruguay,2018
Franco Lamanna,Lock,uruguay,2018
German Kessler,Hooker,uruguay,2018
Kisi Pulu,Prop,uruguay,2018
Luke Crocker,Lock,uruguay,2018
Manuel Ardao,Flanker 6,uruguay,2018
Manuel Diana,Number 8,uruguay,2018
Manuel Leindekar,Lock,uruguay,2018
Mateo Sanguinetti,Prop,uruguay,2018
Santiago Civetta,Flanker 7,uruguay,2018
Agustin Ormaechea,Fullback,uruguay,2018
Diego Magno,,uruguay,2018
Facundo Gattas,,uruguay,2018
Federico Favaro,Wing,uruguay,2018
Felipe Arcos Perez,Outside centre,uruguay,2018
Felipe Etcheverry,,uruguay,2018
Gaston Mieres,Fullback,uruguay,2018
Ignacio Péculo,Fullback,uruguay,2018
Deon Fourie,Openside Flanker,south-africa,2018
Duane Vermeulen,Number 8,south-africa,2018
Eben Etzebeth,Lock,south-africa-a,2018
Elrigh Louw,Number 8,south-africa,2018
Franco Mostert ,Openside flanker,south-africa,2018
Frans Malherbe,Prop,south-africa,2018
Jasper Wiese,Number 8,south-africa-a,2018
Joeseph Dweba,Hooker,south-africa-a,2018
Kwagga Smith,Flanker 6,south-africa-a,2018
Lood De Jager,Lock 4,south-africa,2018
Malcolm Marx,Hooker,south-africa-a,2018
