,position,team,year,Points,Tries,Metres,Runs,Defenders Beaten,Clean Breaks,Passes,Try Assists,Kicks,Conversion Goals,Penalty Goals,Tackles,Tackles Missed,Turnovers Won,Turnovers Conceded,Penalties Conceded,Yellow Cards,Red Cards
Anthony Jelonch,Flanker 7,france,2019,,,,,,,,,,,,,,,,,,
Bernard Le Roux,Flanker 6,france,2019, 0 , 0 , 35 , 24 , 0 , 1 , 3 , 0 , 0 , 0 , 0 , 21 , 2 , 1 , 0 , 5 , 0 , 0 
Cameron Woki,Flanker 7,france,2019,,,,,,,,,,,,,,,,,,
Charles Ollivon,Number 8,france,2019, 5 , 1 , 81 , 20 , 4 , 2 , 6 , 1 , 0 , 0 , 0 , 31 , 2 , 2 , 3 , 2 , 0 , 0 
Cyril Baille,Prop,france,2019, 0 , 0 , 4 , 6 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 18 , 0 , 0 , 0 , 0 , 0 , 0 
Daniel Bibi Bizuwu,Prop,france,2019,,,,,,,,,,,,,,,,,,
Dany Priso,Prop,france,2019,,,,,,,,,,,,,,,,,,
Demba Bamba,Tighthead Prop,france,2019, 0 , 0 , 6 , 4 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 3 , 1 , 0 , 1 , 1 , 0 , 0 
Dylan Cretin,Number 8,france,2019,,,,,,,,,,,,,,,,,,
Florent Vanverberghe,Number 8,france,2019,,,,,,,,,,,,,,,,,,
Florian Verhaeghe,Lock,france,2019,,,,,,,,,,,,,,,,,,
Francois Cros,Blindside Flanker,france,2019,,,,,,,,,,,,,,,,,,
Gaeton Barlot, Hooker,france,2019,,,,,,,,,,,,,,,,,,
Gregory Alldritt,Flanker 7,france,2019, 0 , 0 , 78 , 36 , 1 , 0 , 13 , 2 , 1 , 0 , 0 , 36 , 0 , 1 , 3 , 2 , 0 , 0 
Ibrahim Diallo,Flanker 7,france,2019,,,,,,,,,,,,,,,,,,
Jean-Baptiste Gros,Loosehead Prop,france,2019,,,,,,,,,,,,,,,,,,
Julien Marchand,Hooker,france,2019,,,,,,,,,,,,,,,,,,
Mohammed Haouas,Prop,france,2019,,,,,,,,,,,,,,,,,,
Paul Boudehent,Openside Flanker,france,2019,,,,,,,,,,,,,,,,,,
Paul Willemse,Lock,france,2019,,,,,,,,,,,,,,,,,,
Peato Mauvaka,Hooker,france,2019,,,,,,,,,,,,,,,,,,
Pierre Bourgarit,Hooker,france,2019,,,,,,,,,,,,,,,,,,
Romain Taofifenua,Lock,france,2019, 0 , 0 , 1 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 0 , 0 
Sebastien Taofifenua,Prop,france,2019,,,,,,,,,,,,,,,,,,
Sekou Macalou,Flanker 7,france,2019,,,,,,,,,,,,,,,,,,
Selevasio Tolofua,Flanker 6,france,2019,,,,,,,,,,,,,,,,,,
Sipili Falatea,Prop,france,2019,,,,,,,,,,,,,,,,,,
Thibaud Flament,Lock 5,france,2019,,,,,,,,,,,,,,,,,,
Thomas Jolmes,Lock,france,2019,,,,,,,,,,,,,,,,,,
Thomas Lavault,Lock,france,2019,,,,,,,,,,,,,,,,,,
Uini Atonio,Prop,france,2019,,,,,,,,,,,,,,,,,,
Yoan Tanga Mangene,Openside Flanker,france,2019,,,,,,,,,,,,,,,,,,
Antoine Dupont,Scrum Half,france,2019, 5 , 1 , 61 , 15 , 6 , 2 , 191 , 2 , 24 , 0 , 0 , 14 , 1 , 1 , 5 , 0 , 0 , 0 
Antoine Hastoy,Fly Half,france,2019,,,,,,,,,,,,,,,,,,
Baptiste Couilloud,Scrum half,france,2019,,,,,,,,,,,,,,,,,,
Brice Dulin,Fullback,france,2019,,,,,,,,,,,,,,,,,,
Damian Penaud,Centre,france,2019, 10 , 2 , 143 , 22 , 8 , 3 , 18 , 6 , 0 , 0 , 0 , 16 , 5 , 6 , 7 , 0 , 0 , 0 
GabinVillière,Wing,france,2019,,,,,,,,,,,,,,,,,,
Gael Fickou,Centre,france,2019, 10 , 2 , 156 , 31 , 11 , 7 , 25 , 3 , 1 , 0 , 0 , 37 , 0 , 3 , 2 , 4 , 0 , 0 
Jonathan Danty,Centre,france,2019,,,,,,,,,,,,,,,,,,
Jules Favre,Centre 12,france,2019,,,,,,,,,,,,,,,,,,
Leo Berdeu,Fly Half,france,2019,,,,,,,,,,,,,,,,,,
Matthieu Jalibert,Fly half,france,2019,,,,,,,,,,,,,,,,,,
Matthis Lebel,Fullback,france,2019,,,,,,,,,,,,,,,,,,
Max Spring,Fullback,france,2019,,,,,,,,,,,,,,,,,,
Maxime Lucu,Fly half,france,2019,,,,,,,,,,,,,,,,,,
Melvyn Jaminet,Fullback,france,2019,,,,,,,,,,,,,,,,,,
Romain Ntamack,Fly half,france,2019,,,,,,,,,,,,,,,,,,
Tani Vili,Centre,france,2019,,,,,,,,,,,,,,,,,,
Teddy Thomas,Wing,france,2019,,,,,,,,,,,,,,,,,,
Thomas Ramos,Fullback,france,2019, 6 , 0 , 70 , 13 , 6 , 4 , 10 , 3 , 7 , 3 , 0 , 4 , 0 , 0 , 4 , 0 , 0 , 0 
Virimi Vakatawa,Wing,france,2019, 10 , 2 , 82 , 20 , 3 , 2 , 16 , 4 , 0 , 0 , 0 , 14 , 2 , 1 , 5 , 0 , 0 , 0 
Yoram Moefana,Centre,france,2019,,,,,,,,,,,,,,,,,,
Aidan Ross,Prop,new-zealand,2019,,,,,,,,,,,,,,,,,,
Akira Ioane,Blindside Flanker,new-zealand,2019,,,,,,,,,,,,,,,,,,
Angus Taavao-Matau,Prop,new-zealand,2019,,,,,,,,,,,,,,,,,,
Ardie Savea,Flanker 7,new-zealand,2019, 10 , 2 , 309 , 68 , 16 , 9 , 48 , 9 , 0 , 0 , 0 , 87 , 3 , 20 , 10 , 8 , 0 , 0 
Brodie Retallick,Lock,new-zealand,2019, 5 , 1 , 143 , 39 , 5 , 4 , 23 , 5 , 1 , 0 , 0 , 57 , 4 , 5 , 6 , 6 , 0 , 0 
Codie Taylor,Hooker,new-zealand,2019, 10 , 2 , 79 , 26 , 4 , 3 , 19 , 3 , 0 , 0 , 0 , 55 , 5 , 4 , 9 , 2 , 0 , 0 
Dalton Papali'i,Flanker 7,new-zealand,2019, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 
Dane Coles,Hooker,new-zealand,2019, 0 , 0 , 75 , 24 , 2 , 5 , 16 , 4 , 0 , 0 , 0 , 51 , 2 , 4 , 6 , 4 , 1 , 0 
Ethan De Groot,Loosehead Prop,new-zealand,2019,,,,,,,,,,,,,,,,,,
George Bower,Tighthead Prop,new-zealand,2019,,,,,,,,,,,,,,,,,,
Hoskins Sotutu,Number 8,new-zealand,2019,,,,,,,,,,,,,,,,,,
Karl Tuinukuafe,Prop,new-zealand,2019,,,,,,,,,,,,,,,,,,
Nepo Laulala,Tighthead Prop,new-zealand,2019, 0 , 0 , 14 , 16 , 0 , 0 , 12 , 3 , 0 , 0 , 0 , 39 , 5 , 0 , 4 , 5 , 1 , 0 
Ofa Tuungafasi,Tighthead Prop,new-zealand,2019, 0 , 0 , 28 , 18 , 2 , 0 , 9 , 0 , 0 , 0 , 0 , 43 , 2 , 2 , 3 , 8 , 1 , 0 
Patrick Tuipulotu,Lock,new-zealand,2019, 0 , 0 , 65 , 31 , 2 , 2 , 10 , 2 , 0 , 0 , 0 , 39 , 3 , 3 , 7 , 3 , 0 , 0 
Pita Sowakula,Flanker 6,new-zealand,2019,,,,,,,,,,,,,,,,,,
Sam Cane,Openside Flanker,new-zealand,2019, 0 , 0 , 64 , 26 , 2 , 1 , 31 , 4 , 0 , 0 , 0 , 100 , 7 , 3 , 10 , 5 , 0 , 0 
Samisoni Taukei'aho,Hooker,new-zealand,2019,,,,,,,,,,,,,,,,,,
Samuel Whitelock,Lock,new-zealand,2019, 5 , 1 , 47 , 44 , 3 , 1 , 19 , 0 , 0 , 0 , 0 , 80 , 3 , 2 , 1 , 6 , 0 , 0 
Scott Barrett,Lock,new-zealand,2019, 10 , 2 , 83 , 40 , 2 , 1 , 14 , 1 , 1 , 0 , 0 , 60 , 4 , 7 , 6 , 6 , 0 , 1 
Shannon Frizell,Flanker 7,new-zealand,2019, 5 , 1 , 74 , 29 , 3 , 4 , 18 , 4 , 0 , 0 , 0 , 37 , 5 , 4 , 4 , 1 , 0 , 0 
Tupou Vaai,Lock 4,new-zealand,2019,,,,,,,,,,,,,,,,,,
Tyrel Lomax,Prop,maori-all-blacks,2019,,,,,,,,,,,,,,,,,,
Aaron Smith,Scrum Half,new-zealand,2019, 15 , 3 , 86 , 25 , 2 , 1 , 468 , 14 , 42 , 0 , 0 , 46 , 7 , 3 , 4 , 1 , 0 , 0 
Anton Lienert-Brown,Centre,new-zealand,2019, 15 , 3 , 397 , 88 , 31 , 12 , 68 , 14 , 5 , 0 , 0 , 89 , 3 , 3 , 8 , 3 , 0 , 0 
Beauden Barrett,Fly Half,new-zealand,2019, 54 , 4 , 522 , 101 , 30 , 13 , 184 , 16 , 85 , 11 , 4 , 33 , 10 , 4 , 14 , 1 , 0 , 0 
Braydon Ennor,Wing,new-zealand,2019, 0 , 0 , 15 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 
Caleb Clarke,Left Wing,new-zealand,2019,,,,,,,,,,,,,,,,,,
David Kaetau Havili,Wing,new-zealand,2019,,,,,,,,,,,,,,,,,,
Finlay Christie,Scrum Half,new-zealand,2019,,,,,,,,,,,,,,,,,,
Fletcher Newell,,new-zealand,2019,,,,,,,,,,,,,,,,,,
Folau Fakatava,Scrum half,new-zealand,2019,,,,,,,,,,,,,,,,,,
Jordie Barrett,Fullback,new-zealand,2019, 31 , 3 , 210 , 46 , 5 , 3 , 55 , 9 , 14 , 8 , 0 , 21 , 3 , 6 , 9 , 1 , 0 , 0 
Leicester Fainga'anuku,Wing,new-zealand,2019,,,,,,,,,,,,,,,,,,
Quinn Tupaea,Centre 13,new-zealand,2019,,,,,,,,,,,,,,,,,,
Richie Mo'unga,Fly half,new-zealand,2019, 80 , 2 , 254 , 56 , 21 , 7 , 185 , 14 , 43 , 26 , 6 , 55 , 9 , 4 , 5 , 1 , 0 , 0 
Rieko Ioane,Wing,new-zealand,2019, 10 , 2 , 135 , 35 , 6 , 5 , 26 , 7 , 2 , 0 , 0 , 14 , 5 , 3 , 6 , 2 , 0 , 0 
Roger Tuivasa-Sheck,Centre 12,new-zealand,2019,,,,,,,,,,,,,,,,,,
Sevu Reece,Right Wing,new-zealand,2019, 20 , 4 , 310 , 57 , 13 , 8 , 33 , 11 , 4 , 0 , 0 , 25 , 1 , 4 , 9 , 0 , 0 , 0 
Stephen Perofeta,Fly half,new-zealand,2019,,,,,,,,,,,,,,,,,,
Will Jordan,Fullback,new-zealand,2019,,,,,,,,,,,,,,,,,,
AndreaZambonin,Lock 4,italy,2019,,,,,,,,,,,,,,,,,,
Braam Steyn,Flanker 7,italy,2019, 5 , 1 , 101 , 36 , 6 , 4 , 9 , 3 , 0 , 0 , 0 , 29 , 3 , 2 , 3 , 0 , 0 , 0 
Cherif Traore,Prop,italy,2019,,,,,,,,,,,,,,,,,,
Danilo Fischetti,Prop,italy,2019,,,,,,,,,,,,,,,,,,
David Sisi,Blindside Flanker,italy,2019,,,,,,,,,,,,,,,,,,
Federico Ruzza,Lock,italy,2019, 0 , 0 , 30 , 13 , 3 , 1 , 3 , 1 , 0 , 0 , 0 , 18 , 0 , 0 , 1 , 2 , 0 , 0 
Giacomo Nicotera,Hooker,italy,2019,,,,,,,,,,,,,,,,,,
Gianmarco Lucchesi,,italy,2019,,,,,,,,,,,,,,,,,,
Giosue Zilocchi,Tighthead Prop,italy,2019,,,,,,,,,,,,,,,,,,
Giovanni Pettinelli,Openside Flanker,italy,2019,,,,,,,,,,,,,,,,,,
